Census year,Block ID,Building address,Area,Name,Business address,Industry (ANZSIC4) code,Sub Theme,Seating type,Number of seats,Longitude,Latitude,Theme,Google Maps Rating
2023,710,407B-407D St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Gentleman George,407C-407D St Kilda Road MELBOURNE VIC 3004,4511,Cafes and Restaurants,Seats - Indoor,50,144.9761948,-37.83626982,Food & Drink,
2023,720,415-421 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Tokyo Sushi Kitchen St Kilda,Part Ground 417 St Kilda Road MELBOURNE VIC 3004,4511,Cafes and Restaurants,Seats - Indoor,28,144.9770437,-37.83774644,Food & Drink,
2023,720,415-421 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Aromatic Espresso,Part Ground 417 St Kilda Road MELBOURNE VIC 3004,4511,Cafes and Restaurants,Seats - Indoor,40,144.9770437,-37.83774644,Food & Drink,
2023,724,519-539 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Nando's Chevron,17 Commercial Road MELBOURNE VIC 3004,4511,Cafes and Restaurants,Seats - Indoor,12,144.9798706,-37.84555711,Food & Drink,
2023,724,519-539 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Rice @ Chevron,5-5A Commercial Road MELBOURNE VIC 3004,4511,Cafes and Restaurants,Seats - Indoor,24,144.9798706,-37.84555711,Food & Drink,
2023,738,152-166 Sturt Street SOUTHBANK VIC 3006,Southbank,Cafe Godot,"Suite 2A, 152 Sturt Street SOUTHBANK VIC 3006",4511,Cafes and Restaurants,Seats - Indoor,20,144.9660715,-37.82539897,Food & Drink,
2023,739,University of Melbourne Southbank Campus 45-99 Sturt Street SOUTHBANK VIC 3006,Southbank,Betwixt Cafe & Bar,"Part Building 877, 45 Sturt Street SOUTHBANK VIC 3006",4511,Cafes and Restaurants,Seats - Outdoor,53,144.967549,-37.82517894,Food & Drink,
2023,739,Melbourne Recital Centre 31 Sturt Street SOUTHBANK VIC 3006,Southbank,Blondie Bar,Part 31 Sturt Street SOUTHBANK VIC 3006,4511,Cafes and Restaurants,Seats - Indoor,50,144.9678767,-37.82414021,Food & Drink,
2023,748,312-318 St Kilda Road SOUTHBANK VIC 3006,Southbank,Rosella x 31,Part Ground 312 St Kilda Road SOUTHBANK VIC 3006,4511,Cafes and Restaurants,Seats - Outdoor,10,144.9706855,-37.82909021,Food & Drink,
2023,748,Eight Apartments 6-8 Dorcas Street SOUTHBANK VIC 3006,Southbank,Story So Far,8B Dorcas Street SOUTHBANK VIC 3006,4511,Cafes and Restaurants,Seats - Indoor,16,144.9701752,-37.82984524,Food & Drink,
2023,748,The Guilfoyle 35-47 Coventry Street SOUTHBANK VIC 3006,Southbank,Coventry Pantry,35-37 Coventry Street SOUTHBANK VIC 3006,4511,Cafes and Restaurants,Seats - Outdoor,62,144.9693922,-37.82956559,Food & Drink,
2023,753,Southgate 3 Southgate Avenue SOUTHBANK VIC 3006,Southbank,Pure South Kitchen,"Restaurant 2, Ground 3 Southgate Avenue SOUTHBANK VIC 3006",4511,Cafes and Restaurants,Seats - Outdoor,20,144.9663031,-37.82071824,Food & Drink,
2023,773,50-56 Lorimer Street DOCKLANDS VIC 3008,Docklands,Hooks At The Yarra,50 River Esplanade DOCKLANDS VIC 3008,4511,Cafes and Restaurants,Seats - Indoor,60,144.947481,-37.82483921,Food & Drink,
2023,786,1 Phillip Court PORT MELBOURNE VIC 3207,Port Melbourne,Ootoro,"Unit 3, 1 Phillip Court PORT MELBOURNE VIC 3207",4511,Cafes and Restaurants,Seats - Indoor,24,144.9208732,-37.82605979,Food & Drink,4.2
2023,802,Freshwater Place Residential 1-9 Freshwater Place SOUTHBANK VIC 3006,Southbank,Frankie Walter Peta,"Part Shop 16R, 3 Freshwater Place SOUTHBANK VIC 3006",4511,Cafes and Restaurants,Seats - Outdoor,6,144.9621826,-37.82171509,Food & Drink,
2023,802,Freshwater Place Residential 1-9 Freshwater Place SOUTHBANK VIC 3006,Southbank,Subway,"Shop 6R, 3 Freshwater Place SOUTHBANK VIC 3006",4512,Takeaway Food,Seats - Outdoor,10,144.9621826,-37.82171509,Food & Drink,
